entry,GY,TKW,GPS,SPMS,GPMS,PH,SL,DFF,FLW,FLL,FLA,ESV
38,1608.2459,44.5959,37.9185,199.52465,8125.248175,93.55700972,8.269375,144.88618,1.4720575,20.831875,25.2135,0.66
39,1680.712486,47.7356,38.9817025,207.6202,8174.732975,95.80688228,9.0172775,144.385968,1.6175175,22.669775,28.9079,0.67
40,1590.342264,47.693225,39.283465,206.163775,7592.055,95.35280955,8.3994475,142.78234,1.4577475,23.2574,27.208525,0.65
41,1640.894107,46.700825,37.4249075,216.82885,7717.08175,92.31934426,8.2111625,142.4799,1.49436,21.805805,25.836875,0.68
42,1591.108607,44.754675,37.631455,202.0892,7391.0862,92.38488781,8.70193,145.75584,1.62939175,20.987525,27.708275,0.66
43,1587.456726,45.02195,39.145525,212.8348,7315.1225,89.60018381,8.6015575,143.49822,1.5486075,22.525875,28.240075,0.65
44,1662.060693,50.296075,38.4063365,215.9735,7524.13,97.69323974,8.4453525,145.54458,1.5919975,22.80625,29.4131,0.69
45,1666.936943,48.428125,38.8992805,218.003725,7872.85795,98.71823561,8.8566225,143.94512,1.5090825,22.4076625,26.8515,0.67
46,1807.954114,49.4741,41.399855,218.52705,8771.07,99.21317841,9.01535,144.32354,1.51184,24.264275,29.609175,0.65
47,1583.18665,47.77666,38.8168475,215.52125,7711.7225,91.75125104,8.69665,144.333274,1.5121375,22.35195,27.96335,0.69
48,1644.329886,47.2084,39.4564925,203.201925,7714.7478,99.3590961,8.5567125,144.33808,1.53101625,24.333175,29.817025,0.65
49,1641.215864,49.964425,37.599275,218.4541,7896.312725,99.94281713,8.6416,143.25146,1.5502255,23.9239,30.22225,0.67
50,1639.685121,48.683275,39.2959875,217.286275,7282.44155,94.37768909,8.8049,145.65708,1.592275,21.874925,28.6407275,0.66
51,1601.943036,48.045225,39.806125,200.8915,7711.52485,90.34377214,8.7678525,145.041294,1.6548325,20.497975,28.87595,0.68
52,1595.735607,46.765325,38.9928275,220.81345,7627.4025,90.34205156,8.9006975,144.33212,1.4656475,20.1533,24.69385,0.66
53,1683.999357,47.67795,39.359355,207.813325,7642.189025,93.45495366,8.1771,144.2067,1.58766,21.374425,27.8241,0.65
54,1728.4892,45.713,39.0727025,211.0403,7965.112275,90.76411061,8.5197,144.1238,1.5063925,20.260575,24.459325,0.62
55,1606.752393,46.156165,37.1982325,192.59535,7888.59255,102.3499374,9.1103375,145.97664,1.6762125,22.34070825,30.773525,0.63
56,1680.320693,48.195175,41.4300625,214.44275,7795.71995,95.11097427,9.069025,145.43884,1.63025875,21.53245,27.386725,0.66
57,1593.659607,46.500275,38.0929725,211.68725,7369.821175,89.99880308,8.760585,144.042668,1.5359225,21.300675,25.692025,0.65
58,1657.6536,45.5712,40.1281325,229.0213,7686.0092,91.46666834,8.55905,143.72822,1.49409625,21.94995,26.0906,0.7
