HybID	NSFTVID	Flowering time at Arkansas	Flowering time at Faridpur	Flowering time at Aberdeen	FT ratio of Arkansas/Aberdeen	FT ratio of Faridpur/Aberdeen	Culm habit	Leaf pubescence	Flag leaf length	Flag leaf width	Awn presence	Panicle number per plant	Plant height	Panicle length	Primary panicle branch number	Seed number per panicle	Florets per panicle	Panicle fertility	Seed length	Seed width	Seed volume	Seed surface area	Brown rice seed length	Brown rice seed width	Brown rice surface area	Brown rice volume	Seed length/width ratio	Brown rice length/width ratio	Seed color 	Pericarp color	Straighthead suseptability 	Blast resistance	Amylose content	Alkali spreading value	Protein content	Year07Flowering time at Arkansas	Year06Flowering time at Arkansas
090414-B07	35	NA	NA	164	NA	NA	1	1	NA	NA	NA	NA	105.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	7	24.02666667	7	11.2	NA	NA
090414-B08	39	95.16666667	76	108	0.88117284	0.703703704	8	1	39.85	0.858333333	0	4.016383021	150.4166667	28.01111111	8.222222222	4.472273513	4.692366731	0.802	9.159608333	3.341125	2.50761491	3.937733636	6.5616	2.725066667	3.509773472	6.81995	2.741	2.408	0	0	9	8	22.8	7	8.45	91.5	98.83333333
090325-A08	40	95.66666667	46	133	0.719298246	0.345864662	2.5	0	33.09166667	1.6	0	2.970414466	114.75	27.73636364	8.818181818	4.944236458	5.192956851	0.78	8.222341667	3.756733333	2.641422388	3.951486317	5.897527273	3.118945455	3.527279888	7.851409091	2.189	1.891	0	0	6.168333334	4	0.21	7	8.7	91.5	99.83333333
090414-B10	41	NA	63	158	NA	0.398734177	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.33	9	21.85	7	9.4	NA	NA
090209-A04	43	92.25	71	99	0.931818182	0.717171717	6.5	1	24.34166667	1.283333333	0	3.739651779	98.66666667	25.9	10.09090909	5.0286538	5.182294145	0.858	7.577	3.179191667	2.254467453	3.72872277	5.585625	2.719658333	3.346865557	5.755858333	2.383	2.054	0	0	8.166666667	7	24.985	5.944444445	8.35	87	97.5
090414-C02	44	81.83333333	64	93	0.879928315	0.688172043	8	1	37.61666667	1.716666667	0	3.54577861	136	28.64545455	10.36363636	5.329639838	5.377800477	0.953	8.412563636	2.638754545	1.988313853	3.643562762	6.218708333	2.238875	3.261344143	4.360191667	3.188	2.778	0	0	6.668333334	5	24.23666667	3.208333334	7.55	80	83.66666667
090325-A09	45	81.75	65	94	0.869680851	0.691489362	3	1	25.81666667	0.891666667	1	3.358637767	141.1666667	28.85	7.9	4.548599834	4.676560182	0.88	9.447275	2.908825	2.295296932	3.856689983	7.032916667	2.467433333	3.470934347	5.871175	3.248	2.85	0	0	7.666666667	5	19.205	5.111111111	9.05	80.5	83
090325-A10	46	95.58333333	76	122	0.783469945	0.62295082	3	0	39.78888889	1.366666667	1	3.125785402	127.25	21.91111111	9.444444444	4.703506087	4.903627332	0.819	9.8472	2.981063636	2.412906827	3.941010771	7.430981818	2.566790909	3.561941601	6.6616	3.303	2.895	0	0	8.166666667	1	22.195	5.666666667	8.5	91.5	99.66666667
090414-B11	49	96	NA	90	1.066666667	NA	7	1	24.75833333	0.883333333	1	3.715602524	127.1666667	22.8	7.666666667	4.68981766	4.767855768	0.925	7.147358333	2.836383333	1.933480843	3.525823371	5.182483333	2.414408333	3.143450883	4.159458333	2.52	2.146	0	1	NA	3	26.095	5.458333334	8.4	108.5	83.5
090325-A11	50	95.25	64	77	1.237012987	0.831168831	6	1	26.69166667	1.066666667	0	3.392829132	130.5833333	20.82222222	7.666666667	4.637373326	4.673678091	0.964	7.652991667	3.625625	2.480197663	3.831593918	5.486536364	3.036345455	3.438555639	7.088354545	2.111	1.807	1	1	NA	3	24.38333333	5	8.65	106.5	84
